SampleType	SampleID	Drug	AKT308	AKT473	ATF2	AXL	bCATENIN	CHK1	CHK2	cJUN	cKIT	cMET	cRAF	EGFR	ERK/MAPK	FAK	FGFR1	FGFR2	FGFR3	FLT3	GSK3a	GSK3B	HER2	HER3	HER4	HSP27	HSP27(total)	IGF1R	IGF1R (pan TYR)	IR	IR (pan TYR)	IRS1	JAK1	JNK	LCK	MEK1	MSK1	mTOR	NFkB	p38	p53	p70S6K	PDGFRa	PDGFRb	PRAS40	PTEN	Rb	RET	RPS6	SRC	STAT1	STAT3	STAT5A/B	TSC2	VEGFR2
Patient	PSC053B	AZD5363	3.285645147	2.799350396	0.220015078	2.553561069	1.395451283	2.627110452	1.683091033	0	0	0	1.505209054	0	0.244874817	1.896409119	2.876084006	2.624052814	2.528677335	0.486720201	0	0	0.33404058	0	0.722795302	0.384103688	0	0	0.291536256	0	0.704352554	-0.166991761	0.135177859	0	2.707922672	0.299950375	0.520135598	0.171612497	0.151973102	-0.223187851	0.433831708	1.003950734	0	0	1.442359711	0.25587274	1.195079877	2.53942477	0	0	0	0	-0.084148138	0	0
Patient	PSC053B	GDC0941	0	0	0	0	0	-0.545622519	0	0	0	0	-0.146305629	0	0	-0.392456431	-0.275108148	-0.286704222	-0.280161376	-0.698047238	0	0	0	0.624865209	0.394698716	-0.437456528	-0.093828045	0	0	0.424382741	0	0.218039813	-0.215215017	0	-0.632983479	0	0	0.121577375	0	-0.331378308	0	0	0	0	0	0.325926994	0	-0.350550704	0	0	0	0	-0.073659286	0.415710439	0
Patient	PSC053B	Gefitinib	0	0.294258279	0	0.327635007	0	0.170387869	0.141084666	0	0	0	0	0	0	0.441157923	0.193321487	0.261183407	0.283845918	0	0	0	0.392286976	0	0.345546618	-0.245517973	0.111445628	0.323029182	0	0	0	-0.042298531	0	0	0.188960354	0	0	0.163603469	-0.355992911	-0.046502788	-0.428044748	0	0	0	0.444923134	0	0.988390035	0	0	0	0	0	-0.282038084	0.400336265	-0.441597806
Patient	PSC053B	Trametinib	0	0.43931316	-1.308208975	0.804333804	0.74590167	0.905593334	0.599587539	-1.235683462	-1.92786748	-1.197956643	0.525485211	-1.203477066	-1.900528338	0.677593622	0.875790812	0.753121909	0.715270635	-0.965649632	0	0.409838528	-1.4862091	-1.137698229	-1.31613807	-0.896684789	0.404233382	0.454893616	-1.240890021	0.731095602	-1.143240493	0.226331035	0	-1.334770047	0.973883244	-1.043482541	-1.640873175	0.379509362	0.595299279	-3.191902921	-0.971673674	0	0	-1.126818972	0.898492459	0.362610385	1.22529172	0.774164324	0	0.328204251	-1.25990878	-1.074024315	-1.785893962	0.450897492	-1.390564445
Patient	PSC053B	Everolimus	0	0.3326842	-1.188055571	1.112218622	1.343396378	1.024246707	0.844876798	-0.669156007	-1.479984522	-1.335036186	0.558784063	-1.001758283	-1.212010358	0.954451544	1.207547713	1.125963004	0.984547969	-1.174491284	0	0	-0.751924481	-1.343570062	0	-0.269867038	0.10125525	0	-1.51682129	0.537088992	-0.983482922	0.237442344	0.518777113	-1.948814838	0.852940096	-0.918103197	-1.123255321	0.144716122	0.46279521	-2.832632415	-1.135685544	0	0	-1.257754777	1.121551771	0.395714175	1.559838925	1.138198915	0	0	-0.948998259	-1.166709738	-1.950736639	0.69776168	-0.992434523
Patient	PSC056	AZD5363	1.582057715	0	0	0	0	0	0	0	0	-0.943265395	0	0.759533596	-0.141853613	0	0	0	0	0	0	0	0	0	0	-0.565906078	0	-1.504895392	0.501131991	0	0	-1.583723009	1.378155938	-1.354923651	0	-0.329891435	-0.474628507	0	0	0.51220961	-0.339319791	0	0	0	0	0	0	0	0	0	0	0	-0.323408104	0	0.340066425
Patient	PSC056	GDC0941	0	-2.488029445	1.470983881	-0.923643702	0.284169031	-0.356528603	0	0.942745242	0	-0.77329907	0	0.875052137	-0.250188449	-2.188000832	-0.993791381	-0.903066944	0	0	0	0.89732403	0	0	0	0.648424526	0	0	0	0	0	0.701720534	0.954800102	0	0	0	0	0.913625842	0	-1.024484986	0.252347765	0	0.757583072	0.946159807	0	-0.740284013	0.652148213	0	0	0	0	0.097845865	0	0	0.440770088
Patient	PSC056	Gefitinib	0	0	0	0	0	0	0	0	0.613045386	0	0	0	-0.254305689	0	0	0	0	0	0	0	0	0	0.50796334	-0.404836762	0	0	0	0	0	1.275098414	0	0	0	0.104030712	0	1.092925841	0.659406054	-0.429134716	0	0	0.799379547	0	0	0	0.445067171	0	0.833911953	0	0	0.295882426	0	0	0
Patient	PSC056	Trametinib	0.420371892	0	0	0	0.267807439	-0.340709789	0	0	0.974792037	0	0	0.659290211	0	0	0	0	0	0	0	0	0	0	0	0.441105434	0	0	0	0	0	0.631809474	0	0	0	0.253180399	-0.191880944	0	-0.567778698	-0.618844762	0	0	0	0	0	-0.51063479	0.49339608	0	0	0	0	0.34040257	0	0	0
Patient	PSC056	Everolimus	0.857764279	-0.817587528	0	1.371101607	1.277471318	0.993117188	0.694666689	0	0.699203469	0.596633736	0.594121423	0	-0.075441695	1.317818102	1.047220793	0.516968175	0.739882423	0	0	0	0	0	0	0.308564001	0	0	0	0	0	0	1.096453295	0	1.256759813	0.54772227	0.188901974	0	0	-0.564431934	0	0	0.537614327	0	0	0	1.331808659	0.999757914	0	0	0.965754807	0.380315829	0	0	0
Patient	PSC061	AZD5363	4.163243173	2.993223673	0	0	0	0.162721843	0	0	0	0	0.664402158	-0.400414295	0	-1.004126887	0.571870326	0.498785064	0.48468361	-0.609867661	0	0	0	0	0	0	-0.610388988	0	0	0	-0.55961289	0	-1.661696246	0	0.587613063	0	0	0	0	0	0	2.060085703	0	0	0.42182059	0	0.587840497	0	0	0	0	0	0	0	0
Patient	PSC061	GDC0941	0	0	0	0.26661278	0	0	0	0	0	0	0	-0.411504458	-0.660536931	0.267697763	0	0	0	0	0	0	0	0	0	0	0	0	0	0.632550723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.163576944	1.065628701	0	0	0	0	0	0
Patient	PSC061	Gefitinib	0	-2.222104598	0	0.248428014	0	0.157850442	0.233022997	0	0	-0.77480325	0.25808467	-0.354554894	-1.533685354	0	0.313484675	0	0	0	0	-3.021909247	0.443339699	0	0.781163115	-5.710436788	-8.671933503	-1.434700216	0	-2.380889042	0	0	0	-1.785036153	0	-4.427667534	0	-2.507651499	-1.337248314	0	-1.483129806	0	0	0	-0.531341876	-6.39007752	0.200494779	0	0	-0.662830889	0	-0.663331622	0	0	0
Patient	PSC061	Trametinib	0	0	0	0.296217702	0	0.687668381	0.323400314	0	0	-0.445009919	0	0	0.539059866	2.293109561	0	0	0.95605488	0	0	1.231935231	0.716549501	0	0	0	-0.205656021	0	0	0	0	0	0	0	0.409308327	0.718651636	0	0	0	1.358105263	0	2.044558966	0	0	0	0	0.414810893	0.232724779	0	0	0	0	0	0	0
Patient	PSC061	Everolimus	0	0	1.350347727	-0.34029923	0	0.10838209	0	0	0	-1.326771943	-0.37685905	-1.295088876	0.623010438	-0.672384183	-0.534308359	-0.53339304	-0.659363261	-0.979080752	0	-1.699408822	-0.893616103	-0.857090228	-0.873375311	0	-1.973773	-0.977898699	-1.261480482	-1.006858317	-0.872242453	0	-1.25520129	0.551473712	0	0	0	0	0	1.081023974	0.524328909	0	0	-1.161229009	-0.869776809	-2.640931129	0	-0.168723342	0	-0.725761501	0	0.892502975	0.962684107	0	0
Patient	PSC062	AZD5363	4.08325635	3.668584599	0.282160419	-0.306619203	0	0	0.035404832	0	0	0	0	0	0	-0.25795339	-0.414432329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.073300029	0.709207262	0	0	0.878358309	0.357289755	0	0	0	1.563559339	0.750681011	0	1.202456379	0	0.274188846	0	0	0.401114781	0	0	0	0	0
Patient	PSC062	GDC0941	0	0	0.745222867	0	0	0	0.161569453	0	-0.775001973	0	0.2347716	-1.135883703	0	-0.290338831	0	0.433308561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568451726	0	0	0	0	0.393923082	0	0.725729274	0	0	0.476065248	0	0	0	0.333484398	0	0	0.308071528	0	0	0.320986284	0	0
Patient	PSC062	Gefitinib	0	0	0.757467161	-0.523406834	-0.347555802	-0.574122509	-0.443484736	0	0	0	-0.477933798	-1.819633222	0	-0.511499849	-0.597929493	-0.520048018	-0.529167737	0	0	0	0.221287033	0	0	0	0	0	0	0	-0.643783387	0	0	0	-0.581988285	0	0	0.159359284	0	0.975181627	0	0	0.438678773	0	0	0	-0.605399324	-0.660342479	0	0	0	0	0	0	0
Patient	PSC062	Trametinib	0	-1.640367945	0	-0.285698266	0	0	-0.143347403	0	0.477422525	0.523716178	0	0	0	-0.502148118	0	0	0	0	0	0	0	0	0	-0.959820518	-2.435166602	-0.768638802	0	-0.999845778	0	0	0	-1.472132179	0	-0.763671192	-1.272143105	-0.583199026	0	-0.366659331	-0.704815381	0	0	0	0	0	0	-0.285698266	0	-0.982174752	0	0	-0.62312521	0	0
Patient	PSC062	Everolimus	0	0.367744525	0.286091504	0.507285885	0.259125522	0.583567617	0.289830026	0	0	0	0.553501186	0	0	0	0.581843418	0.565921355	0.447788462	0	0	0	-0.711397277	0	-0.645509342	0	0	-0.497566869	0	0	-1.203250373	0	0	0	0.321683488	0	0	-0.211323674	0	-0.249896289	0	0	0.527868963	0	0	0	0.394646321	0.470506036	0	0	0	0	0	0	-0.792317272
Patient	PSC063	AZD5363	4.99091444	3.251506525	-0.628032002	0	0	0	0.072951002	-0.26091977	0	0.184470367	0	0	0	0	0	0	0	0.75680526	0	0	0	0	0	0	0	-0.768656229	0	0	0.412157089	0	0	0	0	0	0.463299485	-0.643907932	0	0	0	0	1.486965676	0	-2.223897381	0	0	0	0	0	0	0	-0.241164205	0	0.528180885
Patient	PSC063	GDC0941	-0.407376884	0	-0.797830705	0	-0.10579318	0	0	0	0	-0.58703828	0	0	0	0	0	0	0	0	0	0	0.308151104	0	0.276900171	0	0	0	0	0	0	0	-1.192538149	0	-0.188442411	0	0	0	0	-0.45945138	0	0	0	0	-1.245958266	0	0	0	0	0	0	0	0	0	0
Patient	PSC063	Gefitinib	0.149134922	0	0	0	0	0	0.163013999	0.413149134	0	0.271061173	0	0	0	0	0	0	0	1.843396065	0	0	0	-0.469598905	0	0	0	-0.682065424	0	0	0.834350926	0	0	0	0.342243408	0.418904141	0	-0.85344922	0	0.302526149	0	0	0	0	0	-4.451662196	0	0.333345451	0	0	0	0.297185968	0	0	0.505837319
Patient	PSC063	Trametinib	0	0	-0.765157808	0	0	0	0	-1.149486572	0	-0.202989891	0	0	-1.367620592	0.807352054	0	0	0	1.097405043	0	0	0.313687871	0.931659637	0.941400019	-1.643423661	0	0	0.753941388	0.727326554	0	0	0	0	0.110825559	0	-0.548192838	0	0.648308379	-0.723101247	0	0	0.455501646	0	0	0	0	0	0	0	0	0	-0.306977348	0	0.390240227
Patient	PSC063	Everolimus	0	0.941563899	-0.426729546	0	-0.158831728	0	0.199468519	0.408635522	0.629853982	-0.304473796	0	0.64038465	0	0	0	0	0	1.798930589	0	0	0.590715588	0.720400872	0.481462142	0	1.730653914	0.561572317	0	0.813055619	0	1.115858003	-1.720149107	0	-0.132153782	0	0	0	0	0	0	0	0	0	-0.665488916	0.749245268	-0.402023156	0	0	0	0	0	0	0	0.608374255
Patient	PSC064	AZD5363	1.503643868	-0.272020838	-0.16750667	-0.350458352	0	0	0	-0.332137372	0	0	0	0	0.872945373	-0.783213202	-0.826126213	0	0	-0.709301312	-0.723900019	-1.600241551	0	0.209608346	0	-0.224337893	-1.024967556	0	0	0	-0.566602625	-0.881849356	-1.721073975	-0.465020866	0	0	0	0	-0.350098084	0	-0.290686929	-2.303070653	0.58710679	-0.39475041	-2.207888967	-1.353252189	0	0	-1.097117342	0	0	0	0	0.109333535	0
Patient	PSC064	GDC0941	0	0.329954417	-0.563239604	0	0.180802741	0	0	0	0	0	-0.214134248	0	0	0	0	0	0	0.489709276	0	0	0	-0.240404439	0	-0.229287696	0	0.421948926	0	0	-0.402695839	0	0	0	0	0	0	0	0	0	0	-1.394465191	0	0	0	0	0	0	-0.29720271	0	0	0	0	0.673694498	0
Patient	PSC064	Gefitinib	0.662078444	0	0.27618729	0	0	0.335981503	0.120938537	0.241417272	0.404720661	0.57875006	0	0	0	0	0	0	0	0.492634903	0	0	0	0.44478089	0	0	0.720877345	0	0.530494892	0	0	0	0	0	0.564250491	0	0	0	0	0	0	0	0.48475257	0.614540727	0	0	0	0	-0.350860612	0	0	0	0	0.138524229	0
Patient	PSC064	Trametinib	0	0	0.235391362	0	0.19330596	0	0	0	0.248447514	0.417659898	0	0	-1.254774734	0	0	0	0	0	1.015113343	0	0	0	0	0	0	0	0	0	-0.344350825	0	0	0	0.726987956	0	0	0	0	0	0	-1.411196727	0	0.209172366	0.853374796	0.549526614	-0.252253484	0	0	0	0	0	0	0.522613586	-0.354375524
Patient	PSC064	Everolimus	0	-0.513825963	0.347019124	-0.419478821	0	0	0	0	0.260539604	0.398043127	-0.445231369	0	0	-0.921947717	0	0	0	0	0	-1.015124384	0	-0.505448891	0	-0.398260545	-1.060945834	-0.530765825	0	0	0	-0.55907106	0	0	0	0	0	0	-0.632545192	0	0	0	0.867528411	0	0	-1.101166224	-0.363018143	0	-0.675957454	-0.548063865	0	0	0	-0.45690654	-0.687532604
Patient	PSC065	AZD5363	4.730718385	2.712628971	-0.637099927	0.848915245	0.118325177	0.641786502	0.286207761	-0.906984503	0	0	0.750610335	0	1.263955342	0.973974803	0.589141574	0.877080575	0.801453598	0	-0.950234924	-0.586658816	0	0	0	0	0	-0.461184151	0	-0.156620581	0.210723579	-0.660528507	0.770975284	0	0.498067624	0.362764388	0.317612375	0	0	0	0	0.718898745	0	0	-1.446045203	0	0.488596494	0.375374603	0	0	0	0	0	-0.412754841	0.314211844
Patient	PSC065	GDC0941	-0.69660362	0	0	0.505856357	0.225840377	0.338585809	0.16897792	0	0	0	0.559646636	0	-0.553097667	0.941949598	0.409643205	0.577757351	0.449960661	0	0	0	0	0	-0.389918207	-0.419115847	0	-0.2704518	0	-0.107584562	0	-0.642203588	0	0.376968334	0.248447971	0	0	0	-0.385943417	-0.506583536	-0.316951445	-0.538416007	0	0	-0.751239396	0	0	0.317954476	0	-0.273213175	0	0	0	-0.381747785	0.251122967
Patient	PSC065	Gefitinib	0	0.224348045	-0.774823276	0.417219021	0.175737227	0.483994278	0.116237242	-0.890730695	0	0	0.613303183	0	-0.232348468	0.909211117	0.529746586	0.73753495	0.707922952	0	0	0	0	0	0	0	0	-0.484287867	0	0.103240642	0	-0.639188218	0.333280102	0.688571747	0.467857021	0	0	0	-0.763569699	0	-0.156920942	0	0	0	-0.204210803	0	0	0.396007677	0	0	0	0	-0.203378372	0	0
Patient	PSC065	Trametinib	0	0.082760078	0	0	0	0	-0.10070223	0	0	0	0	0	-1.296753993	-0.253698508	0	0.347658431	0	0	0	0	0	0	0	0	0	-0.221664946	0	-0.229790016	-0.178141997	0	0	0.277269103	0	0	0	0	-0.526164463	0	-0.204607032	0	0	0	-0.599874149	0	0	-0.324456019	0	0	0	0	0.239834787	0	0
Patient	PSC065	Everolimus	-1.191650708	0.095280942	-0.643188944	0.852182815	0.331941217	0.391026516	0.214550306	-1.054606833	0	0.712430851	0.87805108	0	0	0.746662486	0.770388724	1.086789516	0.865498652	0.398415495	0	0.341573433	0	0	0	-0.370209607	0	-0.178706253	0	0	0.226609252	0	0.472546046	0.259153866	0.677452029	0	0	0	-0.383784464	0	0	-0.847054293	-1.30215311	0.836188066	0	0	0.444474857	0.695357338	-1.374984745	0	0	0	0	0.208290365	0.391026516
Patient	PSC066	AZD5363	3.574052519	2.884997315	0	0	-0.112014779	0.20095289	0	0	0.448880403	0	0	0	0	0.140907013	0	0	0	0.308399179	0	0	0	0	0	0	0	0	0	0.350044388	0	0	0	0	-0.078906139	-0.315926477	0	0	0	0	0	0.493596589	0	0.535032543	0	0	-0.07686674	0	-0.954069924	0.358494167	0	0	0	0	-0.688343646
Patient	PSC066	GDC0941	-0.902624368	-0.951399883	0	-0.180622002	0	0	0	0	0.676984898	0	0	0	0	-0.056025041	-0.426108595	-0.34123886	0	-0.337965443	0	0	0.713510774	0	0	-0.253360576	0	0	0	0	0.544534602	0	0	-0.893155781	0	-0.286948802	-0.422923517	0.292321048	-0.595094647	0	0	0	-0.464370951	0.94721807	0	0	0.066375091	0	0	0	0	0	0	0	0
Patient	PSC066	Gefitinib	0	0	0	0	0.332607104	0.23159149	0.171200699	0.513831619	1.044505937	0	0	0	0	-0.593002	0	0.294948453	0.426428189	0.291047837	-0.960434804	0	0	0	0	0	0.372649307	0	0	0	0.49416978	0	0	0	0.29983544	-0.273425459	0.389329694	0	-0.313859112	0	0	0.488318078	0	0.351917641	0	0.376233828	0.335615562	0.259177322	0	0.228589002	0	0	0	0	0
Patient	PSC066	Trametinib	0	0	0	-0.203479275	0	0	-0.2486706	0	0	0	0	0	0	-0.450993232	0	0	0	0	0	0	-1.204023379	0	0	0	0	0	0	-0.384716509	0	0	0	0	-0.049171924	0	0	-0.43014129	-0.168599414	0	0	0	0	-0.251865978	0	0	-0.168653452	0	0	0	0	0	0	0	0
Patient	PSC066	Everolimus	0	0	0	0	0	0.186585281	0	-0.481420582	0.805495114	0	0.194805788	0	0	-0.445363131	0	0.204581711	0	0.560677231	0	0	0.253699477	0	0.656458647	-0.456763637	-0.950647301	0	0	-0.368300403	0	-1.128292715	0	0	0.243207104	-0.296364274	0	-0.657033185	-0.40645052	-1.410334594	0	-2.090626628	0.467824283	0.408455431	0	-0.477004367	0	0	-1.749222734	0	0	0	0	0	0
Patient	PSC067	AZD5363	2.077775916	1.816065878	0.547162057	0	0.252478275	0	0.284945644	0.553723596	0.359449275	0	0.31671629	0.341905481	0.357314163	-0.420472417	0.32392421	0	0	0.804860423	0	0	0.601847388	0.552094353	0.764039987	0	0.483994276	0.467058249	0	0.57570691	0.326674239	0.472085988	0.329669929	0	0	0	0.604057774	0.450187775	0.820290464	0	0.185236915	1.113380271	0	0.816889217	0.491934182	0	0.333949164	0.218193616	0	0.33599917	-0.706399306	0	0.324163748	0	0.573789424
Patient	PSC067	GDC0941	0.062717831	0	0.580184497	0.412055634	-0.350486158	0	0.269825414	1.464170803	0	0	-0.09782736	0.29541724	0	0.560909717	0	0	0	0	0.616962901	0	0	0	0	0	0	0	0	0	-0.644141009	0.284135366	0	0.59081273	-0.675957455	0.913030519	0.89967551	-0.420564594	0	0.396718758	0.586027942	0	0	0.276424524	0.420302858	0.759897425	0	0.223809898	0	0	0	0	0	0.707521875	0
Patient	PSC067	Gefitinib	0.221940231	0.429187699	-0.340730211	0.467798093	0	0	0.228443751	0.788858556	-0.499610311	0	0.160539686	0.469170959	-0.272531736	0.904136987	0.15012307	0.199309257	0	0.438840849	0.524161676	1.059920884	0	0	0	0.616271282	0.130194881	0.175039256	-1.231777736	0	0	0	0.378522776	0	0	0.604122111	0.035329439	0.34257437	0	0	0.255788001	0.918486988	0	0.447160913	0.429775291	0.911330207	0.126429098	0.411601451	1.272553048	0	0.725146364	0	0	0.334219486	0
Patient	PSC067	Trametinib	0.219844258	0	0.45804681	0	0	0	-0.075467982	0.295115807	0	0	-0.223390134	0	-0.293449363	0	-0.278510405	0	0	0	0	0	0	0	0	0	0	0.222755853	0	0	-0.290845481	0	0	0.319617392	0	0.754263052	0.146771633	0	0	0.791000959	0.315092573	0	0	0	0	0	0.09818307	-0.114056479	0	0	0.402347325	0	0.417455588	0	0
Patient	PSC067	Everolimus	-0.1538438	0	0.801264597	0.880343357	0.199944961	0.683809585	0.685466698	0.878433609	-0.77114438	-1.27893902	0.1440752	-0.398466169	0.89446655	1.201759206	0.316365425	0.545159166	0	0	0	0	0	0	0	0.524031759	0	-0.162341263	0	0	-0.292613957	0	0.810809232	0.391505958	0.576033922	0.839181091	0.43742137	0	0	0.961264677	0.655373077	-0.499418307	-0.734618504	0	1.00275213	0.609366327	0.586097789	0.799377223	0	0	0	0	0.477789829	0	-0.931015717
Patient	PSC068	AZD5363	3.806630327	2.798966571	0	-0.161276633	-0.124865128	-0.354374414	-0.127296392	0	0	0	0	-0.678389471	1.259420081	0	0	0	0	0	0	-0.571288047	-0.853058066	0	0	0.506462744	0	0	0	0	-0.749355992	0	-0.252710794	0	0	0.399704224	0.33932237	0	0	1.371829745	0.590130473	0.890503327	0.365063918	0	0	0	0	0	0	0	0.199546018	0.316702741	0.365286574	-0.66728486	0
Patient	PSC068	GDC0941	-0.607048897	0.302084655	0.118262197	0.177109903	0	0	0	-1.245826387	0	0	0	-1.422826641	0	0	0	0	0	0.220283134	0.227407568	0	0	0	0	0	0	0	0	0	-0.442279004	0	0	0	0	0	0	0	0	0.450257084	0	0	0	0	0	0	0.158958038	0	0	0	0	0	0	0	0.519296837
Patient	PSC068	Gefitinib	0.584769504	0	-0.134604435	-0.338791135	-0.159172463	-0.42172201	-0.226037035	0	0	0	0	-0.783302248	0.33379218	0	0	0	-0.372394298	0.169050363	-0.454302362	0	0	0	0	0	0	0	0	0	-0.734519874	0	-0.272851249	-0.527052543	-0.727014432	0.239154355	-0.518624369	0	0	-0.845948085	0	0	-0.464821738	0	0	0	-0.148972815	0	-0.489448065	0	-0.132839979	0	0.232082915	-0.966557332	0
Patient	PSC068	Trametinib	0.303867406	0	-0.800376139	-0.157053247	0	0	0	0	0	0	0	-0.392228091	-0.413083221	0	0	0	0	0	0.470387414	0.576604288	0	0	0	0	0	0	0	0	-0.40162679	0	0	-0.386854756	0	0.755837832	-0.83209433	0	0	-0.906870432	0	0	0	0	0	0	0.102864552	0	0	0	0	-0.409318352	0.248403168	0	0
Patient	PSC068	Everolimus	0	0.342709229	-0.53006049	0	0.20198432	0.250556111	0.191771515	0	0	0	0.26445414	0	0.434541356	0	0	0.257386184	0	0.72396354	0	0.532593577	0	0.572438873	0	0.567956895	0	0	0	0	0	0	-0.37359272	0	0	0.497795626	-0.506980744	0	0	-0.487463976	0	0	0	1.03119775	0	0	0	0	0	0	-0.262424976	0.166589577	-0.260283343	0	0
Patient	PSC070	AZD5363	4.356384435	2.277783154	0	0	-0.306006741	-0.352514622	0	0	0	-0.50007181	0	0.759325766	0.362528678	0	0	0	0	0	-0.452543439	0	0.651059677	0.38853951	-0.263288296	0	0	0	0	0	0	0	0	0.211174663	0	0.689318205	0.59880344	0	0	0.457806069	-0.121560186	1.170203116	0	0.825099356	0	0	0	0	-0.540987643	0	-0.575606066	-0.196984154	0	-0.258843636	0
Patient	PSC070	GDC0941	-1.116675431	-0.371632779	-0.387956541	-0.734715388	-0.339146394	-0.273136139	0	0	0.773493915	0.399982973	0	1.053464898	0	0	0	0	0	0	0	0	0.711579132	0.902776932	0.235352271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316994718	0	-1.061241092	0	0.818892697	0	0.201136258	0	0	0	0	-0.234350204	-0.225001374	0	0.310427753	0
