Rowname	Mutation_Status	Drug	CellLine	SensitivityWithQuartileThreshold	GI50	ContinousSensitivity	AKT308	AKT473	ATF2	AXL	bCATENIN	CHK1	CHK2	cJUN	cKIT	cMET	cRAF	EGFR	ERK/MAPK	FAK	FGFR1	FGFR2	FGFR3	FLT3	GSK3a	GSK3B	HER2	HER3	HER4	HSP27	HSP27(total)	IGF1R	IGF1R (pan TYR)	IR	IR (pan TYR)	IRS1	JAK1	JNK	LCK	MEK1	MSK1	mTOR	NFkB	p38	p53	p70S6K	PDGFRa	PDGFRb	PRAS40	PTEN	Rb	RET	RPS6	SRC	STAT1	STAT3	STAT5A/B	TSC2	VEGFR2
AUY922_H1781	Wild_type	AUY922 	H1781	Sensitive	5.63	0.079745042	-1.031744365	-0.394302566	0.299686582	0.167205853	-0.298557598	0.15574576	-0.117620581	0.027530539	0.188912624	-0.244016475	-0.039825517	-0.100271877	0.012860165	0.11474413	-0.056109967	-0.10406882	0.060131076	-0.07996804	0.012797858	-0.003035636	-0.284274365	-0.516572688	-0.320282369	0.742259097	-0.229662361	-0.335028954	0.481910848	-0.063100689	0.307163463	-0.084904306	-0.218171434	0.311018846	0.03967018	0.157850621	0.475652882	-0.040780466	-0.213635199	0.016412921	0.665790673	-0.521457635	0.051276494	-0.44882649	0.088737868	-0.299818266	-0.235631686	0.172798031	-0.2598505	-0.288800384	-0.095564895	-0.144156028	0.281840683	0.071617163	0.086445497
AUY922_H1792	KRAS_mutant	AUY922 	H1792	Sensitive	7.43	0.105240793	-0.430001254	-0.775809355	-0.240630247	-0.217092096	0.327536666	0.100834603	0.100710238	-0.20702645	0.059156571	-0.495454317	0.188814138	-0.288819843	-0.411855362	-0.018776564	0.195419309	0.129331323	0.217678296	-0.068505009	-1.50624914	-1.36166908	0.446272643	-0.236138198	-0.135883604	-0.74582915	-0.040832197	-0.108349829	-0.090079914	-0.136204595	0.369616104	-0.826399693	0.258782231	-0.298572245	-0.118854676	-1.407391999	-0.607347196	-0.261037089	-0.378360271	-0.958297858	-0.481879458	-0.233283658	-0.095846857	0.66158284	0.572738047	-0.802793205	0.101525149	0.070724709	-0.991817641	-0.472348296	0.074078144	-0.124397771	-0.208014598	-0.759888508	0.021336682
AUY922_H1793	Wild_type	AUY922 	H1793	NotSensitive	9.23	0.130736544	0.038288796	0.626531683	0.476903053	0.055003104	0.144492473	0.011607743	0.087722156	0.757563295	-0.413232207	-0.107940113	0.050639179	-0.411578688	0.189335089	-0.037906256	0.102236437	0.029072584	-0.046578936	0.223206511	-0.377163155	-0.219876154	-0.077761965	0.056068558	0.112333294	-0.079752347	-0.027645566	1.022632201	-0.222710301	0.006725269	-0.263352285	-0.550243549	0.045498019	0.437331317	0.50048866	-0.228117034	-0.107050568	-0.043627161	-0.006327979	-0.041716769	0.403488548	0.337235136	-0.568206867	0.15260996	0.32487793	-0.039986878	-0.386507042	0.130058141	0.056566812	-0.766752546	0.433446652	0.152307592	0.057397619	-0.096177895	-0.389668735
AUY922_H1838	Wild_type	AUY922 	H1838	NotSensitive	9.28	0.131444759	1.357860692	-0.239701845	1.057323513	-0.336748305	-0.409559758	-0.636057165	-0.332682443	0.764435156	0.09943554	0.532247741	-0.423518687	0.499184176	1.406984495	-0.403839146	-0.382491864	-0.492005608	-0.395202921	-1.038067984	0.280838759	0.047599024	0.279026957	0.073407303	0.06146769	1.90903488	-0.299964169	-0.051906891	-0.029297774	-0.465078125	0.126051396	-0.067057196	-0.898758048	1.212750565	-0.353054469	1.178809294	1.705193017	-0.304803983	0.065955081	1.226127875	0.357950248	-0.189177928	1.979668381	-0.035883737	-0.757576655	-0.138370207	-0.472563775	-0.526330855	0.072408375	-0.040338157	1.026995473	1.149239096	1.618844359	-0.093546422	-0.285505535
AUY922_H1944	KRAS_mutant	AUY922 	H1944	NotSensitive	8.93	0.126487252	1.844008294	-1.819557259	0.723160008	0.786753589	0.68201343	1.354097176	0.695798774	-0.130519524	-0.962893591	0.264340093	1.233380439	0.112204406	1.977511404	0.448240822	1.236325717	1.306298623	1.704977726	0.170737375	0.454428667	1.888568633	0.249264773	0.77165745	0.567298952	-0.161405202	-0.052312611	-0.45716124	0.376740837	0.438702333	0.751890093	0.056318948	1.63651082	-0.556106154	1.488980977	0.542346048	-0.518561785	-0.236698187	-0.131245043	1.592984868	-0.224595519	0.625506522	1.028432866	-3.731555508	0.574484881	-0.296011878	-0.532660152	1.510331241	-2.127049882	1.187030421	-0.620441399	-1.897257437	-0.464114001	-1.082073926	1.168040978
AUY922_H1975	EGFR_mutant	AUY922 	H1975	NotSensitive	13.07	0.185127479	-1.139308076	0.663618279	0.3636451	-0.034636992	0.023892053	0.072347328	0.224915234	0.203300376	0.004626762	-0.013485792	0.076727699	0.033654505	0.412654365	0.235156621	0.20223891	0.145295145	0.230844774	-0.026066758	0.172660201	0.544818126	-0.104893819	0.095280563	0.252184508	0.170958806	-0.027298644	-0.065042642	0.358117634	-0.173922982	0.019790363	0.541266476	0.005244628	0.252413297	0.172192598	1.093370007	0.120250545	-0.049478978	-0.149096134	0.119745283	-0.264929363	0.326710117	0.242461593	0.030213524	-0.103408115	0.252883669	0.120380339	0.040198161	0.215452335	0.111398314	-0.276044237	0.125646449	-0.105722757	0.318349735	-0.0865462
AUY922_H1993	Wild_type	AUY922 	H1993	NotSensitive	12.07	0.170963173	1.448051199	0.938314247	0.343411636	-0.045086261	0.040893403	-0.07266806	-0.053620229	0.201222138	0.084055694	-0.344011108	0.107710318	-0.218474705	-0.830029365	-0.336915812	-0.086523974	-0.054216393	-0.08277688	0.456539578	-0.558605826	-0.548521489	0.16565028	-0.001815545	0.093274225	0.140677094	0.152982388	-0.009819269	0.290720289	-0.027020009	-0.156281797	-1.008169541	0.063930263	-0.079790484	-0.783122342	-0.19298395	-0.047324106	0.202640007	0.263869779	-0.637257559	0.43014011	0.353304486	0.175736384	0.743599971	-0.184419025	0.129314643	-0.059832039	-0.020665102	-0.778268663	-0.046128832	0.145216856	0.258496607	0.046575777	-0.166023838	0.108071226
AUY922_H2030	KRAS_mutant	AUY922 	H2030	NotSensitive	13.71	0.194192635	1.559444678	0.336827777	0.19573567	-0.141687698	-0.186622285	-0.060665128	-0.123029531	0.124743637	0.0393007	0.871356063	-0.06988931	-0.89437276	-0.239974609	-0.0484039	-0.21896108	0.00531052	-0.063336316	-0.085735346	-0.440676364	-0.480918608	0.478283895	-0.03433133	0.482907352	-0.013526987	-0.283514388	0.030888461	-0.750132313	-0.583332218	0.193724608	-0.418744378	-0.240204525	0.214338625	0.01876377	-0.215349645	-0.237797613	-0.115138693	-0.256778571	0.045995353	1.413820883	-0.610098335	-0.328431084	-0.105570915	0.13275307	-0.274668993	-0.063952745	-0.018065519	-0.500146967	-0.662582434	0.002039693	-0.332900601	-0.233292534	-0.330218094	0.461371792
AUY922_H2087	BRAF_mutant	AUY922 	H2087	NotSensitive	8.35	0.118271955	1.811927959	1.323500142	-0.119866184	-0.006807898	0.182940834	0.298805122	0.650414063	1.269917409	-0.015095869	-0.054436761	0.321995174	-0.805301466	-0.934142527	0.160180297	0.053103074	0.127996314	0.289021077	-0.060610528	-0.802439583	-0.663997603	-0.331035894	-0.107298575	-0.714878772	0.239784405	-0.236441314	-0.853051833	-0.196455765	-0.633636961	-0.128437342	-1.211482291	-0.01907345	0.018993022	-0.07320997	-0.590705492	0.204545941	-0.848147224	-0.836566481	-0.396044477	0.704287235	-1.481685142	-0.039918484	0.083191587	-0.055014879	-0.759275575	0.165987238	0.22401662	-1.619314783	0.057737011	0.078355042	0.006106444	-0.026839202	-0.901476598	-0.069543653
AUY922_H2122	KRAS_mutant	AUY922 	H2122	NotSensitive	10.91	0.154532578	0.159511658	0.102335987	-0.194330887	0.17052465	0.146459121	0.202811132	0.209957852	0.110452944	-0.102425224	0.271362169	0.257689691	-0.208277868	-0.073732549	0.06750436	0.34284095	0.199028827	0.294903496	-0.350307513	-0.109951624	-0.0440694	-0.336066787	-0.52427645	-0.586204198	0.077475621	-0.184563453	0.057264638	0.044272961	-0.808844017	0.011826904	-0.122054031	0.10993085	-0.017683988	0.241698809	-0.653695696	0.141199446	-0.101757235	-0.223881516	-0.14785997	-0.111045707	0.119529819	-0.495056311	-0.153211333	0.003775229	-0.097580354	0.030979606	0.354345252	-0.105788144	-0.410452502	-0.221272664	-0.104208277	0.087884192	-0.291218179	-0.114825146
AUY922_H2228	ALK_mutant	AUY922 	H2228	Sensitive	8.15	0.115439093	1.35179584	0.66146422	1.17275897	0.368443021	0.152437288	0.861012585	0.28743215	0.796182088	-0.16329454	-0.577083494	0.297153862	-1.072920104	0.32837877	-0.044407149	0.287126217	0.338156185	0.268527543	-0.55426428	1.945059329	1.194320111	-0.134725388	-0.226647878	-0.454028014	0.749281317	-0.083706575	0.002993479	0.342004434	0.249285215	-0.645687308	1.387961231	-0.039073149	0.261203287	0.515731213	1.406179152	0.992555276	0.33365575	0.022402737	0.314752756	0.366450636	-0.053442169	0.033131656	-1.455658178	0.125426509	0.411171681	-0.137576822	0.698916225	0.233525024	0.017277705	0.10980432	0.153753546	-0.176326293	1.212632219	-0.075831699
AUY922_H2291	KRAS_mutant	AUY922 	H2291	NotSensitive	17.04	0.241359773	0.614839242	-0.249672751	-0.207768527	-0.165139241	-0.11055274	-0.295327423	-0.166131656	0.094189899	0.114481988	0.053431469	-0.004173393	0.12616188	-0.055059318	-0.096884307	-0.091060886	-0.203496779	-0.127669073	-0.096940538	-0.504401366	-0.22971416	0.382690827	0.186073984	0.370913659	-0.801922938	0.275862786	-0.05792964	0.125581255	0.316465875	0.002526253	-0.366306132	-0.108792207	-0.48848801	-0.228155788	-0.716242146	-0.230536965	-0.071913559	0.512269508	-0.186761515	0.243231106	-0.035766423	-0.275097037	0.236327619	0.0800916	0.022452739	-0.05459235	-0.063908492	-0.570192651	0.202094595	0.411555644	0.066656591	-0.062045748	-0.153206881	0.244695943
AUY922_H23	KRAS_mutant	AUY922 	H23	Sensitive	7.78	0.1101983	0.756031346	0.579791521	0.506795602	-0.144890457	-0.084395397	-0.242225215	-0.176149501	0.059687404	-0.06381452	0.112342435	-0.043776767	-0.556790668	0.861915353	-0.110931952	-0.00469127	0.017621482	0.108302759	-0.390258096	0.45568348	0.229570596	-0.215817613	-0.521306598	-0.491235744	0.565347785	-0.082170209	-0.12545761	0.365323176	-0.14443298	-1.507583738	0.218082126	0.096718308	0.063542408	0.067749786	0.605424705	0.705297727	-0.26752973	-0.230560611	0.647120761	-0.19010079	-0.14710652	-0.662921203	-0.094251461	-0.219757767	-0.066359435	-0.058276336	-0.071525003	-0.135604233	-0.136183093	0.318309308	0.10208026	0.057200881	-0.124876046	0.117395663
AUY922_H2347	KRAS_mutant	AUY922 	H2347	NotSensitive	9.53	0.134985836	0.034727753	-0.151045124	-0.351814315	0.036677985	-0.110961566	-0.05384642	0.005444458	0.615509138	-0.596547904	-0.483620463	-0.153782365	-0.597821227	0.149077924	0.453009928	-0.267164807	-0.002821505	-0.118615138	-0.559369372	-0.438838927	-0.344691382	0.698935551	-0.430836002	-0.929123243	-0.316094666	-0.208520997	-0.085700516	0.143918708	-0.224826608	-1.619034316	-0.538419203	-1.151221936	-0.611897767	-0.127824473	-0.48560272	0.212153444	0.017437016	-0.055730362	-0.448567127	-0.040864252	-0.450873755	-0.476877673	0.221488562	-0.754778855	-0.146614122	-0.084555495	-0.116727412	-0.711201722	-0.330639603	-0.460041895	-0.138493468	-0.150067357	-0.623945342	-0.87357643
AUY922_H3122	Wild_type	AUY922 	H3122	NotSensitive	8.77	0.124220963	0.022418414	-0.307261215	0.807206156	-0.320043132	-0.499918701	-0.207690848	-0.430000813	0.677262758	-0.241231345	-0.200386293	-0.335312589	-0.232042174	0.420604517	-0.354991259	-0.389400181	-0.214217446	-0.37708567	-0.450949936	0.034046657	-0.288678507	-1.071306344	-0.35832539	-1.170842017	0.076318309	-0.128552666	-0.102129267	0.03560886	0.373478499	-0.404730077	-0.112271477	-0.838253565	-0.163424546	-0.387386161	0.176033685	-0.065725311	0.026024085	-0.157666628	0.393256443	1.001648428	0.228361791	-0.519345765	-0.296372899	-0.743944363	0.026958245	-0.591169502	-0.314647958	-0.310537088	-0.144369806	-0.122674735	-0.622638067	0.117969971	0.104132304	-0.347719779
AUY922_H358	KRAS_mutant	AUY922 	H358	NotSensitive	14.51	0.205524079	-0.258463764	0.136253751	0.478709248	0.142928205	0.100305762	0.094674647	0.13923761	0.598916491	-0.028805495	-0.240815898	0.196687073	-0.571651837	-0.431536099	-0.565349963	0.357856304	0.113292602	0.339345616	0.057265455	1.279295458	0.720076232	-0.139380692	0.167185611	-0.159202132	0.08472345	0.078530788	0.363869695	0.578611856	0.545760144	-0.175373423	0.831435523	0.434489495	-0.109789938	0.291291934	0.139218339	-0.681848606	0.530337568	0.102145897	0.087720269	0.031556372	0.179672652	-0.128104836	0.463525421	-0.385468569	0.695868908	0.111571114	0.207189658	0.456813547	0.455637409	-0.338426695	0.565628136	0.301954167	1.025063892	-0.201821766
AUY922_H441	KRAS_mutant	AUY922 	H441	NotSensitive	70.6	1	0.735352907	0.670804187	0.511989713	0.084542352	0.053222432	-0.009366991	0.108348099	0.304478899	0.080819164	-0.122451978	0.056292931	-0.061832034	-0.094385815	0.019411491	0.064927287	0.058935038	0.020319373	-0.078393625	0.692017319	0.394666545	0.193330009	-0.082102605	-0.019748312	1.074916856	0.077105048	-0.033673446	-0.316516333	-0.391010059	0.086695731	0.688015747	0.467398525	0.324769774	0.082719751	0.578447124	0.597068915	0.275684994	-0.384580608	0.450132034	1.238583367	0.283278966	0.000965857	0.179838414	1.017138671	0.318701975	-0.022618112	0.03137717	-0.140285419	0.205409506	-0.158069667	0.113012169	-0.055770104	0.294770351	-0.486441334
AUY922_H522	Wild_type	AUY922 	H522	NotSensitive	8.17	0.11572238	0.139202943	0.209531565	0.960528122	0.432498236	0.291547669	0.364643265	0.212726012	0.714647867	-0.18964931	0.066690444	0.274596803	0.761835862	0.419960962	0.346659188	0.366533135	0.538799604	0.297873113	0.923732489	-0.037729057	-0.211627393	1.211080352	0.401109482	-0.213417476	-0.262850836	-0.039916192	-0.097007984	0.262086132	0.18288346	-0.02846679	-0.158042117	0.231173675	0.433938905	0.365879613	-0.179010921	0.604063485	-0.038764152	0.129231909	0.710045784	0.087884665	0.153237444	-0.000423753	0.434730463	0.219176182	0.037427675	0.532033024	0.305062794	-0.259098999	0.134253727	-0.092922184	0.043307516	0.255086048	-0.242593443	-0.363943911
AUY922_H820	EGFR_mutant	AUY922 	H820	NotSensitive	14.87	0.210623229	0.043470507	-0.159180187	0.416530549	-0.062454189	-0.1778012	-0.039754948	0.005639548	0.44083076	0.140290093	0.073102832	-0.048272032	-0.15029064	0.194559755	0.034668077	-0.141472768	-0.048639092	-0.087917053	-1.046572633	-1.021762065	-0.59049663	0.411592114	0.481518743	-0.59549731	0.681901322	-0.100993085	-0.450548975	-0.397851551	-0.622570901	0.464280654	-0.500240312	-0.887489741	0.142461192	0.020628109	-0.632129263	0.308047257	0.026192978	0.134413526	-1.531838673	0.701617034	-0.284701232	0.03001392	0.37794927	-0.793469165	-0.741318066	-0.092045324	0.005246901	-0.648935438	-0.176293782	0.193102284	-0.117828823	0.234807691	-1.200237655	-0.250499861
AUY922_HCC2935	EGFR_mutant	AUY922 	HCC2935	NotSensitive	8.98	0.127195467	-1.426743064	-1.028162175	0.36722852	-0.211051556	-0.15052552	-0.202864775	-0.192957931	-0.124667441	-0.01078261	-0.643873595	-0.294875731	0.118871047	-1.389032508	-0.256298489	-0.209395847	-0.205167718	-0.163074976	0.091724631	0.23449403	-0.266843258	0.366245523	-0.716599505	-0.202314067	0.90070031	-0.103812679	-0.44791388	-0.250877033	0.078768975	-0.052278912	0.104256371	-0.815179304	0.574564353	-0.195526718	-0.03376352	-0.085296135	0.26652727	-0.008802245	0.945185247	1.624805964	-0.29985631	0.097904762	-0.366362142	-0.224371019	-0.057603467	-0.050997134	-0.137353364	-1.589848694	0.176576985	-0.339514745	0.220274902	0.135545583	0.645199514	-0.171309776
AUY922_HCC4006	EGFR_mutant	AUY922 	HCC4006	Sensitive	7.47	0.105807365	-0.020689615	0.207351213	0.45850435	0.33216531	0.072476714	0.137981	0.107461325	0.360944727	-0.193211728	0.142221165	-0.032019674	0.366762054	0.536213185	-0.075473016	-0.05788175	0.128107453	-0.085838208	0.089228078	0.916658355	0.524074058	0.187236281	0.320008285	0.089228077	0.202284891	-0.020195964	0.339588653	0.064642439	0.202550703	0.119985473	0.255877947	-1.039790373	0.381408829	0.084767176	0.64584399	0.839546435	0.203127744	-0.292362938	0.043823745	0.630656743	0.437608968	0.033338319	-0.679132713	-0.031263104	0.116016827	-0.031592636	-0.111255564	-0.316310533	0.178995975	-0.042561795	0.222607206	-0.262731607	0.312840408	0.176195078
AUY922_HCC44	KRAS_mutant	AUY922 	HCC44	NotSensitive	10.4	0.147308782	0.571037538	0.122369688	0.25171753	0.665862482	0.68468183	0.61908727	0.528696112	0.152692188	1.272485781	0.79249284	0.610552463	1.243703952	-0.416339284	0.575663494	0.549814257	0.619567262	0.621552724	0.67903479	0.156083574	0.298471541	0.804080815	0.601970934	0.570100419	-0.158597559	0.306266457	0.186450621	1.339127222	0.205394595	0.606274032	0.090064222	1.107387024	0.59219419	0.684619353	-0.283266583	-0.562987814	0.257626567	0.500227723	-0.471209325	0.461286932	0.081063566	0.405652233	0.998943718	0.342223548	0.030200238	0.64959964	0.671752316	-0.08866103	0.018768696	0.071208868	0.334811004	0.624454948	0.063847843	0.762119191
AUY922_HCC827	EGFR_mutant	AUY922 	HCC827	NotSensitive	12.97	0.183711048	1.774635355	0.617016459	0.459765543	0.121888747	0.07058904	0.380784173	0.211409328	0.314248194	-0.521291367	0.248312889	0.206859555	0.305643925	-0.536808193	0.003685284	0.304695814	0.032767574	0.158742784	-0.067573399	-0.394255024	-0.464688991	-0.15003556	-1.156094766	0.063671134	-0.033564507	0.016108566	-0.122279292	-0.189970031	0.031720394	0.602425205	-0.037006683	-0.231264825	0.189922823	0.677218225	-0.395032828	0.068240456	0.168451886	-0.810936765	-0.078511246	1.013622683	-1.649508207	-0.804538993	0.024433535	-0.872880493	0.592519462	-0.166885797	0.136452595	-2.122948978	0.081041096	-0.858820655	0.273181218	-0.651050882	-0.348034877	-0.101520731
AUY922_PC9	EGFR_mutant	AUY922 	PC9	NotSensitive	13.57	0.192209632	-0.625868239	-0.117860116	0.016038128	0.18790622	0.21901327	0.238529669	0.271191981	-0.01022688	0.08934197	-0.158974883	0.175797515	-0.194062033	-0.354168345	0.110266921	0.128755808	0.177345745	0.205805366	-0.031287736	-0.191593895	-0.242088828	0.00858	-0.390256056	0.167542103	0.066974157	0.047966474	-0.22966273	-0.236280609	-0.503313248	-0.302546909	-0.263752389	-0.141353755	0.106656457	0.248728106	-0.326978376	-0.132756833	-0.121466158	0.005895915	-0.200644519	0.374622626	-0.584172852	-1.295876657	0.159548782	-0.157044617	-0.221564223	0.072032355	0.241753776	-0.846108242	-0.063739659	-0.020585754	0.14637242	-0.002802417	-0.341194775	0.322385148
