CellLine,ContinousSensitivity,Mutation_Status,Drug,AKT308,AKT473,ATF2,AXL,bCATENIN,CHK1,CHK2,cJUN,cKIT,cMET,cRAF,EGFR,ERK_MAPK,FAK,FGFR1,FGFR2,FGFR3,FLT3,GSK3a,GSK3B,HER2,HER3,HER4,HSP27,HSP27_total,IGF1R,IGF1R_panTYR,IR,IR_panTYR,IRS1,JAK1,JNK,LCK,MEK1,MSK1,mTOR,NFkB,p38,p53,p70S6K,PDGFRa,PDGFRb,PRAS40,PTEN,Rb,RET,RPS6,SRC,STAT1,STAT3,STAT5A_B,TSC2,VEGFR2
H1793,0.130736544,Wild_type,AUY922 ,0,0.626531683,0.476903053,0,0,0,0,0.757563295,-0.413232207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079752347,-0.027645566,1.022632201,0,0,0,0,0,0.437331317,0.50048866,0,0,0,0,0,0.403488548,0.337235136,0,0,0,0,0,0,0,0,0.433446652,0,0,0,-0.389668735
H1838,0.131444759,Wild_type,AUY922 ,1.357860692,-0.239701845,1.057323513,0,-0.409559758,-0.636057165,-0.332682443,0.764435156,0,0.532247741,-0.423518687,0.499184176,1.406984495,-0.403839146,-0.382491864,-0.492005608,-0.395202921,-1.038067984,0,0,0,0,0,1.90903488,-0.299964169,0,0,-0.465078125,0,0,0,1.212750565,-0.353054469,1.178809294,1.705193017,-0.304803983,0,1.226127875,0.357950248,-0.189177928,1.979668381,0,0,-0.138370207,-0.472563775,-0.526330855,0,0,1.026995473,1.149239096,1.618844359,0,0
H1944,0.126487252,KRAS_mutant,AUY922 ,1.844008294,-1.819557259,0.723160008,0.786753589,0.68201343,1.354097176,0.695798774,0,-0.962893591,0.264340093,1.233380439,0,1.977511404,0,1.236325717,1.306298623,1.704977726,0,0.454428667,1.888568633,0.249264773,0.77165745,0.567298952,0,0,-0.45716124,0.376740837,0.438702333,0.751890093,0,1.63651082,-0.556106154,1.488980977,0.542346048,-0.518561785,-0.236698187,0,1.592984868,0,0.625506522,1.028432866,-3.731555508,0.574484881,-0.296011878,-0.532660152,1.510331241,-2.127049882,1.187030421,-0.620441399,-1.897257437,-0.464114001,-1.082073926,1.168040978
H1975,0.185127479,EGFR_mutant,AUY922 ,-1.139308076,0.663618279,0.3636451,0,0,0,0.224915234,0,0,0,0,0,0.412654365,0.235156621,0,0,0.230844774,0,0,0.544818126,0,0,0.252184508,0,0,0,0.358117634,0,0,0.541266476,0,0.252413297,0,1.093370007,0.120250545,0,0,0,-0.264929363,0,0.242461593,0,0,0,0.120380339,0,0.215452335,0,-0.276044237,0,0,0,0
H1993,0.170963173,Wild_type,AUY922 ,1.448051199,0.938314247,0,0,0,0,0,0,0,0,0,0,0,-0.336915812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.008169541,0,0,-0.783122342,0,0,0.202640007,0,0,0.43014011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2030,0.194192635,KRAS_mutant,AUY922 ,1.559444678,0,0,0,-0.186622285,0,-0.123029531,0,0,0.871356063,-0.06988931,0,0,0,-0.21896108,0,0,0,0,0,0.478283895,0,0.482907352,0,-0.283514388,0,0,0,0.193724608,0,-0.240204525,0,0,0,0,0,0,0,1.413820883,-0.610098335,0,0,0,0,0,0,-0.500146967,-0.662582434,0,0,0,0,0.461371792
H2087,0.118271955,BRAF_mutant,AUY922 ,1.811927959,1.323500142,0,0,0,0.298805122,0.650414063,1.269917409,0,0,0.321995174,0,-0.934142527,0,0,0.127996314,0.289021077,0,-0.802439583,-0.663997603,0,0,-0.714878772,0,0,0,0,0,0,-1.211482291,0,0,0,-0.590705492,0,-0.848147224,-0.836566481,0,0.704287235,-1.481685142,0,0,0,0,0,0,-1.619314783,0,0,0,0,-0.901476598,0
H2122,0.154532578,KRAS_mutant,AUY922 ,0,0,0,0,0,0.202811132,0.209957852,0,0,0,0.257689691,0,0,0,0.34284095,0.199028827,0.294903496,0,0,0,0,0,-0.586204198,0,-0.184563453,0,0,-0.808844017,0,0,0,0,0.241698809,-0.653695696,0.141199446,-0.101757235,0,0,0,0,0,0,0,-0.097580354,0,0.354345252,0,-0.410452502,-0.221272664,-0.104208277,0,-0.291218179,0
H2228,0.115439093,ALK_mutant,AUY922 ,1.35179584,0.66146422,1.17275897,0.368443021,0.152437288,0.861012585,0.28743215,0.796182088,0,-0.577083494,0.297153862,0,0.32837877,0,0.287126217,0.338156185,0.268527543,0,1.945059329,1.194320111,0,-0.226647878,0,0.749281317,-0.083706575,0,0,0,-0.645687308,1.387961231,0,0.261203287,0.515731213,1.406179152,0.992555276,0.33365575,0,0.314752756,0.366450636,0,0,-1.455658178,0,0.411171681,0,0.698916225,0.233525024,0,0,0,0,1.212632219,0
H2291,0.241359773,KRAS_mutant,AUY922 ,0.614839242,0,0,0,0,-0.295327423,-0.166131656,0,0,0,0,0,0,0,0,-0.203496779,0,0,0,0,0,0,0.370913659,-0.801922938,0.275862786,0,0,0,0,0,-0.108792207,-0.48848801,-0.228155788,-0.716242146,0,0,0,0,0.243231106,0,0,0,0,0,0,0,-0.570192651,0.202094595,0.411555644,0,0,0,0.244695943
H23,0.1101983,KRAS_mutant,AUY922 ,0.756031346,0.579791521,0.506795602,-0.144890457,0,-0.242225215,-0.176149501,0,0,0,0,-0.556790668,0.861915353,-0.110931952,0,0,0,0,0.45568348,0.229570596,-0.215817613,-0.521306598,-0.491235744,0.565347785,0,0,0.365323176,0,-1.507583738,0.218082126,0,0,0,0.605424705,0.705297727,-0.26752973,-0.230560611,0.647120761,0,-0.14710652,-0.662921203,0,0,0,0,-0.071525003,0,-0.136183093,0.318309308,0.10208026,0,0,0
H2347,0.134985836,KRAS_mutant,AUY922 ,0,0,0,0,-0.110961566,0,0,0.615509138,0,0,-0.153782365,0,0.149077924,0.453009928,-0.267164807,0,-0.118615138,0,0,0,0,0,-0.929123243,-0.316094666,-0.208520997,0,0,0,0,0,-1.151221936,-0.611897767,0,0,0,0,0,-0.448567127,0,0,-0.476877673,0,-0.754778855,0,-0.084555495,0,-0.711201722,-0.330639603,-0.460041895,0,0,-0.623945342,0
H3122,0.124220963,Wild_type,AUY922 ,0,0,0.807206156,-0.320043132,-0.499918701,-0.207690848,-0.430000813,0.677262758,0,0,-0.335312589,0,0.420604517,-0.354991259,-0.389400181,-0.214217446,-0.37708567,-0.450949936,0,-0.288678507,-1.071306344,-0.35832539,-1.170842017,0,0,0,0,0.373478499,-0.404730077,0,-0.838253565,-0.163424546,-0.387386161,0,0,0,0,0.393256443,1.001648428,0.228361791,-0.519345765,0,-0.743944363,0,-0.591169502,-0.314647958,0,0,0,-0.622638067,0,0,-0.347719779
H358,0.205524079,KRAS_mutant,AUY922 ,0,0,0.478709248,0,0,0,0,0.598916491,0,0,0,-0.571651837,-0.431536099,-0.565349963,0,0,0,0,1.279295458,0.720076232,0,0.167185611,0,0,0.078530788,0.363869695,0.578611856,0.545760144,0,0.831435523,0,0,0.291291934,0,-0.681848606,0.530337568,0.102145897,0,0,0,0,0.463525421,0,0.695868908,0,0,0.456813547,0.455637409,0,0.565628136,0.301954167,1.025063892,0
H441,1,KRAS_mutant,AUY922 ,0.735352907,0.670804187,0.511989713,0,0,0,0,0.304478899,0,0,0,0,0,0,0,0,0,0,0.692017319,0.394666545,0,0,0,1.074916856,0.077105048,0,0,0,0.086695731,0.688015747,0.467398525,0,0,0.578447124,0.597068915,0.275684994,-0.384580608,0,1.238583367,0.283278966,0,0,1.017138671,0.318701975,0,0,0,0.205409506,-0.158069667,0.113012169,0,0,-0.486441334
H522,0.11572238,Wild_type,AUY922 ,0,0.209531565,0.960528122,0.432498236,0.291547669,0.364643265,0.212726012,0.714647867,-0.18964931,0,0.274596803,0.761835862,0.419960962,0.346659188,0.366533135,0.538799604,0,0,0,-0.211627393,1.211080352,0.401109482,0,-0.262850836,0,0,0.262086132,0,0,0,0,0.433938905,0.365879613,0,0.604063485,0,0,0.710045784,0,0,0,0.434730463,0.219176182,0,0.532033024,0,-0.259098999,0.134253727,0,0,0,0,0
H820,0.210623229,EGFR_mutant,AUY922 ,0,0,0.416530549,0,-0.1778012,0,0,0.44083076,0,0,0,0,0.194559755,0,-0.141472768,0,0,-1.046572633,-1.021762065,-0.59049663,0.411592114,0,-0.59549731,0.681901322,0,0,0,-0.622570901,0.464280654,0,-0.887489741,0.142461192,0.020628109,0,0.308047257,0,0,-1.531838673,0.701617034,-0.284701232,0,0.37794927,-0.793469165,-0.741318066,0,0,-0.648935438,0,0,0,0,-1.200237655,0
HCC2935,0.127195467,EGFR_mutant,AUY922 ,-1.426743064,-1.028162175,0.36722852,0,0,0,0,0,0,-0.643873595,-0.294875731,0,-1.389032508,-0.256298489,0,-0.205167718,0,0,0,-0.266843258,0.366245523,-0.716599505,0,0.90070031,-0.103812679,-0.44791388,0,0,0,0,-0.815179304,0.574564353,-0.195526718,0,0,0.26652727,0,0.945185247,1.624805964,-0.29985631,0,0,0,0,0,0,-1.589848694,0.176576985,0,0.220274902,0,0.645199514,-0.171309776
HCC4006,0.105807365,EGFR_mutant,AUY922 ,0,0,0.45850435,0.33216531,0,0,0,0.360944727,0,0,0,0.366762054,0.536213185,0,0,0,0,0,0.916658355,0.524074058,0,0.320008285,0,0,0,0.339588653,0,0.202550703,0,0,-1.039790373,0.381408829,0,0.64584399,0.839546435,0.203127744,-0.292362938,0,0.630656743,0.437608968,0,-0.679132713,0,0.116016827,-0.031592636,-0.111255564,0,0,0,0.222607206,0,0.312840408,0.176195078
HCC44,0.147308782,KRAS_mutant,AUY922 ,0.571037538,0,0,0.665862482,0.68468183,0.61908727,0.528696112,0,1.272485781,0.79249284,0.610552463,1.243703952,-0.416339284,0.575663494,0.549814257,0.619567262,0.621552724,0.67903479,0,0.298471541,0.804080815,0.601970934,0.570100419,0,0.306266457,0.186450621,1.339127222,0,0.606274032,0,1.107387024,0.59219419,0.684619353,-0.283266583,-0.562987814,0,0.500227723,-0.471209325,0.461286932,0,0.405652233,0.998943718,0.342223548,0,0.64959964,0.671752316,0,0,0,0.334811004,0.624454948,0,0.762119191
HCC827,0.183711048,EGFR_mutant,AUY922 ,1.774635355,0.617016459,0.459765543,0,0,0,0,0,-0.521291367,0.248312889,0,0.305643925,-0.536808193,0,0,0,0,0,-0.394255024,0,0,-1.156094766,0,0,0,0,0,0,0.602425205,0,0,0.189922823,0,-0.395032828,0,0,-0.810936765,0,1.013622683,-1.649508207,-0.804538993,0,-0.872880493,0.592519462,0,0,-2.122948978,0,-0.858820655,0.273181218,-0.651050882,0,0
PC9,0.192209632,EGFR_mutant,AUY922 ,0,0,0,0.18790622,0.21901327,0.238529669,0.271191981,0,0.08934197,0,0.175797515,-0.194062033,-0.354168345,0.110266921,0.128755808,0.177345745,0.205805366,0,0,0,0,-0.390256056,0.167542103,0,0.047966474,0,-0.236280609,-0.503313248,0,-0.263752389,0,0,0.248728106,0,0,0,0,0,0,-0.584172852,0,0.159548782,0,0,0,0.241753776,-0.846108242,-0.063739659,0,0,0,-0.341194775,0.322385148
SKLU1,0.126770538,KRAS_mutant,AUY922 ,0.509630059,0.627847312,0.953854712,0,0,0,0.131051785,1.840155502,0.178196735,-0.666491415,0.125536372,0,0,0.565303417,0,0.422444745,0,0.283512804,0,-0.502377786,1.055406731,0.538450907,0,0.722433769,0,0,0,0,0.457122852,0,0.826665855,0,0,0,0.415302676,0,0,0,0,0,0,0,0,0,0.202995495,0.107874151,0,0,0,0,0,0,0
A549,0.030945914,KRAS_mutant,AZD5363 ,5.646041779,3.937870304,0,0.210209706,0,0.277812338,0,0,0,0,0.223574608,0,0,0.256288226,0.208741439,0.337406453,0.226476999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6374262,0,0,0,0,0,0,0,0,0,0,0,-0.693732357,0,0,0.244981643,-2.494965111,0,0,0,0,0,0
CORL105,0.017062366,Wild_type,AZD5363 ,5.87925922,3.968874751,-0.405834252,0.332735102,0,0.187205942,0,-0.232875675,0,0,0.190707148,0,0,0,0.186134291,0,0.30206855,0,-0.62963444,-0.584358453,0,0,0,0,0,0,0,0.539471967,0.800139383,0,-0.664078624,0.65823688,0,0.795941463,0,-0.361928632,0,0.509594067,-0.107922516,0,0,0,-1.531572741,0,0,0.130388716,-1.942591262,-0.678273222,0.25232077,0,0.11603322,-1.128688364,0
H1373,0.999053036,KRAS_mutant,AZD5363 ,3.946638771,0.575491555,-1.047203878,0.362976428,0.35769872,0.322957452,0.23456852,-1.002033335,0,0,0.285041906,-0.415789128,0,0,0.221686505,0.372198289,0.314121708,0,-1.311061152,-1.132250936,0,0,0,0,-0.142726808,0,0.285618733,-0.265032621,0,-1.172673189,0.841077718,0,0.402682683,0,0,-0.450382384,-0.510481483,0,0,0,0.133341266,-0.088668731,0,0,0.138791118,0.354519809,-1.282978496,-0.378887966,0,-0.085179745,0,-1.515548653,0.193551701
H1437,0.050779553,Wild_type,AZD5363 ,4.876520779,3.673862116,-0.893799339,-0.39602711,-0.541159961,-0.736709394,-0.461877295,0,0.194951192,-0.508448155,-0.797548224,0,-0.360574586,-0.555679637,0,0,-0.407223815,-0.465562342,0,0,0,0,0,0,0,-0.484671165,0,0,0,0,0,0,0,0,0,0,0,0,-0.526177624,0.755865637,-0.44538446,0,-1.786935447,0,-0.662876425,-1.061978995,0,0.405853452,-0.448819078,-0.469655097,-0.48348425,0,0
H1563,0.061441669,Wild_type,AZD5363 ,5.402486668,4.027745152,0,-0.102474447,0,0,0,0.329882528,0.136059259,0.185492619,0,-0.617413548,0,0,0,0,0,0,0,0,0,-0.443608942,-0.226017507,0,0,0,0,0,0,0,0,0,0,0,1.106326174,0,0.534911331,0,0,0,0,0,-0.662260435,1.064748274,-0.268957461,0,-1.937046241,0,0,0,0,0,-0.163157483
H1568,0.209507065,Wild_type,AZD5363 ,5.098299177,1.719393118,0,-0.228752267,0.207303193,0,0,0,-0.153653341,-0.428815674,0,-0.638845712,0,0,0,0,0,0,-0.539494889,-0.99612891,0,0,-0.675146149,-0.310828931,-0.16478458,0,0,0,0,0,0,0,0.125495695,0,0,-0.465397571,0,0,0,0.917634741,0.336940634,0,-1.333369751,-0.279757221,-0.177287463,0,-2.70287128,-0.44175473,0,0,-0.717613176,-1.289191475,0
H1650,0.473324281,EGFR_mutant,AZD5363 ,6.558472758,2.082945857,0,-0.23833794,0,0,-0.132157362,0,0.286946733,0,0,0.174064994,0.97564924,0,0,-0.112348388,0,0.445923766,0,0.391068152,0,0,0,0,0.166096514,0,0,0,0,0,1.047296285,0.379004934,0,1.415314035,0,0.353564184,0,-0.064089097,0.141372831,0,0,0,-1.774105187,0,0,0,-2.015548808,0,-0.43951647,0,0.413966065,0,0
H1693,0.225728211,Wild_type,AZD5363 ,3.897245752,3.162348046,-0.439183613,-0.082802404,0.561279836,0,-0.176339122,-0.756415624,-0.358634898,0,-0.147466914,-0.429939992,1.962587997,0.141601831,0,0,0,-0.165388823,0,0,0,0.14845786,-0.564996281,0.969385724,-0.149880949,0,-0.843460727,-0.177361464,0,0,0,0,-0.084731159,1.290588638,0.593190585,0,-0.305023359,0.825357169,0,-1.989617563,0,-0.393575207,-2.25571502,0,0,-0.13422789,-3.879554547,0,-0.120200048,0,0,0,0
H1734,0.016894017,KRAS_mutant,AZD5363 ,4.07142339,4.0023316,0.615436083,0,0.297435592,0.365060025,0,0,0,0,0,0,1.449871603,0,0,0,0.194095843,0,0.780452387,0,0,0,0,1.648675208,-0.123146374,0,0,0,0,0,-0.356010429,0.473009046,0,1.364943887,0.952832059,0.333032033,0,0.468493315,-0.386808787,0,0,-1.62078923,2.43010685,0.5458027,0.432933016,0,-0.569041946,-0.347403009,0.216372763,0,0.210704761,0,0
H1755,0.032243605,BRAF_mutant,AZD5363 ,4.034032919,3.541310397,-0.921540223,0,0,0,0.562620501,-1.726834851,0,0.565499094,0,0,0,0.953739185,0.395338833,0,0.601695543,0,0,0,0,0,0,0,-0.106914707,-0.551295901,-0.369545465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072969942,0,0,-1.083951789,0,0,-0.249357904,-0.199620462,-1.016545924,0
H1781,0.015869191,Wild_type,AZD5363 ,1.805118877,-0.404356591,0,0,0,0,-0.187567346,-0.683099318,0,-1.033338964,0,0,1.42225851,0,0,-0.264812107,0,0,-0.444374924,-0.837956997,0.654657288,0.86305751,0,0.723215951,0,-0.600480187,0,-0.601461605,0,-0.573708137,0,0.303410596,0,1.3588193,1.633733943,0,-0.725360988,0.497164699,0.167472927,-0.860422472,0,0,-1.304360152,-0.513964804,-0.305274548,0,-2.083117611,-0.509300687,-0.144556442,-0.2774982,0.371800075,-0.705649066,0
H1792,0.087857236,KRAS_mutant,AZD5363 ,3.75069898,1.789425859,-1.711540887,0,-0.254667619,-0.804228248,0,-3.132671922,-0.33249704,0,-0.817243263,0,-1.065897609,1.060474629,-1.024141288,-0.837536812,-1.233653263,0,-3.412022679,-2.350563522,-0.705627387,0,0,0,-0.229969573,-0.627758988,0,0.124218491,-0.947749279,0,-1.554574503,-0.496053308,-0.982629319,0,0,-1.097761565,-0.608262812,0,-0.456524944,0,-0.578515469,-0.936707108,-3.163477969,-2.531397151,0,-0.886159337,-3.405552756,-0.861449432,-0.338688454,0,0.105225187,-1.700284432,-0.793528359
H1793,0.235957704,Wild_type,AZD5363 ,4.269641801,3.185499283,-0.630742546,-0.264115347,0,0,0,0,-0.319382725,-0.309546515,0,0,-0.688801053,0,0,0,0,0,0,0,0,-0.21931577,0,-0.211322979,-0.093245642,0,0,0,0,0,0,0,0,-0.500252296,0,0,0,0,0.157230747,0.983475055,0,0,-1.254335868,0,0,0,-0.481851921,0,0.132497722,0.274359215,0,0,0
H1838,0.157798084,Wild_type,AZD5363 ,5.362528797,2.863225675,1.026463573,0,0,-0.204586175,0,0.415827303,0,0.34704737,0,0,1.774653543,0,0,-0.280475593,0,0,-0.978910602,-0.722906164,0,0,0,2.429372816,-0.398085643,-0.444895827,-0.181839206,-1.053490559,-1.17167029,0,0,1.387071007,0,1.576857318,2.40493124,0,0,2.1509221,1.049226188,-0.871564703,-0.134627322,0,0,-0.07647143,-0.219968957,0,-2.872706315,0,1.48168556,1.62602332,1.855322348,-0.975447766,-0.658189278
H1944,0.047563031,KRAS_mutant,AZD5363 ,6.219278372,3.598852053,-1.104969249,0,0,-0.052069369,0,-0.6068699,0,-0.129548122,0,0,0,0,0,0,0,0,-0.984677461,-0.803019523,0,0,0.367497788,0,0,-0.525005252,-0.200514643,0,0,0,0,0,0,0,0,0,-0.680958063,0,0,0,0.141789588,0,-0.796019499,0,0,0,-3.882994305,0.590543653,-0.274551748,0,0,-1.668166769,0
H1975,0.039667279,EGFR_mutant,AZD5363 ,5.896462159,3.639749669,0,0,0,0,0,0,0,0,0,0,0,-0.14113968,0,0,0,0,0,0,0,0,0,0,0.086961295,0,0.127790877,0,0.252350093,0,0,0.235053019,0,1.286039447,0.297502129,0,0,0,0,-2.257617233,0.395757873,0.398428353,-1.973698864,0.570394055,-0.333876621,-0.124797328,-1.976726006,0.274902384,0,0,0,-0.870746184,0
H1993,0.010552163,Wild_type,AZD5363 ,4.290483029,2.318198742,0,0,0,0,0,0,0,0,0,-0.468767073,0,-0.334722848,0,0,0,0,0,0,0,-0.302353454,0,0,0,0,0,0,0,-1.9494583,0,0,-0.803542961,0,0,0,0,0,0,0,0,0,-1.159890974,0,0,0,-3.299621174,0,0,0,0,0,0
H2030,0.065995164,KRAS_mutant,AZD5363 ,4.713509239,2.696986559,-0.763079617,0,0,0,0,-1.002996308,0,0.617260131,0.05088182,0,0.634184979,0,0.17534662,0.070978099,0.222524571,-0.804499544,-1.753233883,-1.018762798,0,-0.336814863,0,0,0.156423319,0,0,0,-0.677042684,0,0,0,0.147996477,0.671403875,0,0,0,0.501957142,0.247855861,0,0,-0.777304801,-0.769534137,0,0,0,-0.289299574,0,0,-0.510329231,0,0,0
H2087,0.03995961,BRAF_mutant,AZD5363 ,5.452020613,4.683283416,0,0,0,0,0,-0.771347664,0,-0.368732954,0,0,1.988429024,0,0,-0.187839386,0.208614097,0,0,0.615881883,0.408067608,0,0,1.201532569,0,0,0,0,0,0,-0.14568116,0,0,0.441834875,1.849737322,0,0,1.364467917,0.396464602,0,-0.477301428,0.564856976,0,0,0,0,-0.997822915,0.940228869,0,0,0,-0.706751262,0
H2122,0.721539911,KRAS_mutant,AZD5363 ,5.534066623,4.74038164,0,0,0,-0.144224586,0,0,0,0,-0.153030483,0.409182434,0,0,-0.111208985,0,-0.201574478,0,-1.054781757,-0.771165415,0,0,0.334893049,0,-0.104496671,-0.443595027,0,0,-0.238526703,-0.17871371,0.391098482,0,-0.104293094,-0.241097589,0.171525764,0,-0.406735232,0,0,1.286660841,0,0,0,-0.067685433,0,0,-2.334955875,-0.415223525,-0.23451599,0.311653663,0,-0.612677133,0
H2228,0.027267309,ALK_mutant,AZD5363 ,6.044132144,3.29026567,0.927569815,0.291968012,0,0.601681228,0.299852417,0,0,-0.434942079,0.184292726,0,0.546353536,0,0.230532944,0.22882199,0.268294743,0,1.790427269,1.1473141,0,0.121811196,0,2.154359032,-0.123126599,0,0,0,0,2.091019673,0,0.329534414,0.447939279,1.344570546,1.497329264,0.317020843,0,0.502880377,0.212389341,0.235759368,0.213354079,-0.939645007,0,0,0,0.347169235,-1.029464283,0,0,0,0,0.743564566,0
H2291,0.011275363,KRAS_mutant,AZD5363 ,3.47162773,3.115130787,0,0,0,0,-0.205921389,0,0,0,-0.258851702,0,0.34579857,0,0,-0.126115211,0,0,0,-0.690800383,0,0,0,0,0,0,0,0,0,0,0.234873179,-0.228058914,0,0,0,-0.331470642,0,0,0,0.671718069,0,0,0,0,0,0,-1.509128103,0,0,0,0,-1.014424769,-0.193366407
